ts:2026-02-05T09:00:32+01:00 t:10.03 h:84 b:2.425
ts:2026-02-05T09:30:28+01:00 t:10.01 h:85 b:2.425
ts:2026-02-05T10:00:27+01:00 t:10.05 h:85 b:2.387
ts:2026-02-05T10:30:31+01:00 t:10.05 h:85 b:2.387
ts:2026-02-05T11:00:30+01:00 t:10.05 h:85 b:2.389
ts:2026-02-05T11:30:30+01:00 t:10.07 h:85 b:2.389
ts:2026-02-05T12:00:26+01:00 t:10.10 h:85 b:2.387
ts:2026-02-05T12:30:32+01:00 t:10.08 h:85 b:2.387
ts:2026-02-05T13:00:32+01:00 t:10.07 h:85 b:2.426
ts:2026-02-05T13:30:29+01:00 t:10.05 h:85 b:2.426
ts:2026-02-05T14:00:29+01:00 t:10.06 h:85 b:2.387
ts:2026-02-05T14:30:29+01:00 t:10.06 h:85 b:2.387
ts:2026-02-05T15:00:28+01:00 t:10.06 h:85 b:2.386
ts:2026-02-05T15:30:31+01:00 t:10.09 h:85 b:2.386
ts:2026-02-05T16:00:32+01:00 t:10.06 h:85 b:2.387
ts:2026-02-05T16:30:30+01:00 t:10.09 h:85 b:2.387
ts:2026-02-05T17:00:29+01:00 t:10.05 h:85 b:2.401
ts:2026-02-05T17:30:27+01:00 t:10.08 h:85 b:2.401
ts:2026-02-05T18:00:33+01:00 t:10.12 h:85 b:2.400
ts:2026-02-05T18:30:31+01:00 t:10.09 h:85 b:2.400
ts:2026-02-05T19:00:29+01:00 t:10.12 h:85 b:2.389
ts:2026-02-05T19:30:28+01:00 t:10.10 h:85 b:2.389
ts:2026-02-05T20:00:26+01:00 t:10.09 h:85 b:2.399
ts:2026-02-05T20:30:29+01:00 t:10.07 h:85 b:2.399
ts:2026-02-05T21:00:30+01:00 t:10.08 h:85 b:2.386
ts:2026-02-05T21:30:29+01:00 t:10.09 h:85 b:2.386
ts:2026-02-05T22:00:28+01:00 t:10.06 h:85 b:2.478
ts:2026-02-05T22:30:33+01:00 t:10.08 h:85 b:2.478
ts:2026-02-05T23:00:32+01:00 t:10.07 h:85 b:2.387
ts:2026-02-05T23:30:29+01:00 t:10.07 h:85 b:2.387
ts:2026-02-06T00:00:32+01:00 t:10.06 h:85 b:2.386
ts:2026-02-06T00:30:30+01:00 t:10.07 h:85 b:2.386
ts:2026-02-06T01:00:29+01:00 t:10.05 h:85 b:2.387
ts:2026-02-06T01:30:27+01:00 t:10.08 h:85 b:2.387
ts:2026-02-06T02:00:33+01:00 t:10.10 h:85 b:2.399
ts:2026-02-06T02:30:26+01:00 t:10.09 h:85 b:2.399
ts:2026-02-06T03:00:32+01:00 t:10.08 h:85 b:2.390
ts:2026-02-06T03:30:28+01:00 t:10.04 h:85 b:2.387
ts:2026-02-06T04:00:32+01:00 t:10.08 h:85 b:2.387
ts:2026-02-06T04:30:32+01:00 t:10.08 h:85 b:2.387
ts:2026-02-06T05:00:31+01:00 t:10.09 h:85 b:2.387
ts:2026-02-06T05:30:28+01:00 t:10.09 h:85 b:2.421
ts:2026-02-06T06:00:27+01:00 t:10.05 h:85 b:2.421
ts:2026-02-06T06:30:32+01:00 t:10.07 h:85 b:2.385
ts:2026-02-06T07:00:31+01:00 t:10.06 h:85 b:2.385
ts:2026-02-06T07:30:32+01:00 t:10.09 h:85 b:2.387
ts:2026-02-06T08:00:32+01:00 t:10.10 h:85 b:2.387
ts:2026-02-06T08:30:27+01:00 t:10.08 h:85 b:2.389
ts:2026-02-06T09:00:26+01:00 t:10.07 h:85 b:2.389
ts:2026-02-06T09:30:32+01:00 t:10.08 h:85 b:2.399
ts:2026-02-06T10:00:32+01:00 t:10.11 h:85 b:2.399
ts:2026-02-06T10:30:27+01:00 t:10.09 h:85 b:2.385
ts:2026-02-06T11:00:31+01:00 t:10.11 h:85 b:2.385
ts:2026-02-06T11:30:26+01:00 t:10.08 h:85 b:2.419
ts:2026-02-06T12:00:31+01:00 t:10.12 h:85 b:2.419
ts:2026-02-06T12:30:32+01:00 t:10.10 h:85 b:2.385
ts:2026-02-06T13:00:32+01:00 t:10.12 h:85 b:2.385
ts:2026-02-06T13:30:30+01:00 t:10.13 h:85 b:2.424
ts:2026-02-06T14:00:26+01:00 t:10.16 h:85 b:2.424
ts:2026-02-06T14:30:28+01:00 t:10.10 h:85 b:2.386
ts:2026-02-06T15:00:30+01:00 t:10.14 h:86 b:2.386
ts:2026-02-06T15:30:27+01:00 t:10.21 h:86 b:2.389
ts:2026-02-06T16:00:26+01:00 t:10.26 h:86 b:2.389
ts:2026-02-06T16:30:29+01:00 t:10.30 h:86 b:2.386
ts:2026-02-06T17:00:28+01:00 t:10.34 h:86 b:2.386
